time;FM1 ;FM2 ;FM3 ;FF1 ;FF2 ;FF3
1.80;0.00;0.16;-0.03;0.03;0.36;0.00
1.84;0.00;0.16;-0.03;0.03;0.36;0.00
1.88;0.00;0.16;-0.03;0.03;0.36;0.00
1.92;0.00;0.16;-0.03;0.04;0.36;0.00
1.96;0.00;0.16;-0.03;0.04;0.36;0.00
2.00;0.00;0.16;-0.03;0.04;0.36;0.00
2.04;0.00;0.16;-0.03;0.04;0.36;0.00
2.08;0.00;0.16;-0.03;0.06;0.36;0.02
2.12;0.00;0.16;-0.03;0.07;0.36;0.02
2.16;0.00;0.16;-0.03;0.09;0.36;0.02
2.20;0.00;0.16;-0.03;0.11;0.36;0.02
2.24;0.00;0.16;-0.03;0.12;0.36;0.02
2.28;0.00;0.16;-0.03;0.12;0.36;0.02
2.32;0.00;0.16;-0.03;0.13;0.36;0.02
2.36;0.00;0.16;-0.01;0.13;0.36;0.02
2.40;0.00;0.16;-0.01;0.14;0.36;0.02
2.44;0.00;0.16;-0.01;0.16;0.36;0.02
2.48;0.00;0.16;0.00;0.17;0.35;0.02
2.52;0.00;0.16;0.01;0.18;0.35;0.02
2.56;0.00;0.16;0.01;0.18;0.35;0.02
2.60;0.00;0.16;0.02;0.19;0.35;0.02
2.64;0.00;0.16;0.02;0.20;0.35;0.02
2.68;0.00;0.16;0.03;0.23;0.35;0.02
2.72;0.01;0.16;0.04;0.25;0.35;0.02
2.76;0.01;0.16;0.04;0.26;0.34;0.02
2.80;0.01;0.16;0.04;0.26;0.34;0.03
2.84;0.01;0.16;0.04;0.26;0.33;0.03
2.88;0.01;0.16;0.04;0.26;0.33;0.03
2.92;0.01;0.16;0.04;0.26;0.33;0.03
2.96;0.01;0.16;0.04;0.26;0.33;0.03
3.00;0.02;0.16;0.04;0.26;0.33;0.03
3.04;0.02;0.16;0.04;0.26;0.33;0.03
3.08;0.02;0.16;0.05;0.26;0.33;0.03
3.12;0.03;0.16;0.05;0.26;0.33;0.03
3.16;0.03;0.16;0.05;0.26;0.32;0.03
3.20;0.04;0.16;0.05;0.26;0.32;0.03
3.24;0.08;0.16;0.05;0.26;0.31;0.03
3.28;0.10;0.16;0.05;0.26;0.30;0.03
3.32;0.11;0.16;0.05;0.26;0.30;0.03
3.36;0.11;0.16;0.05;0.26;0.30;0.03
3.40;0.11;0.16;0.05;0.26;0.29;0.03
3.44;0.11;0.16;0.05;0.26;0.28;0.03
3.48;0.11;0.16;0.05;0.26;0.28;0.04
3.52;0.11;0.16;0.05;0.26;0.27;0.04
3.56;0.11;0.16;0.05;0.26;0.26;0.04
3.60;0.11;0.16;0.05;0.26;0.26;0.04
3.64;0.11;0.16;0.05;0.26;0.26;0.04
3.68;0.11;0.16;0.05;0.26;0.25;0.04
3.72;0.11;0.16;0.05;0.26;0.25;0.04
3.76;0.11;0.16;0.05;0.26;0.25;0.04
3.80;0.11;0.16;0.05;0.26;0.25;0.05
3.84;0.11;0.16;0.05;0.26;0.25;0.05
3.88;0.11;0.16;0.05;0.26;0.24;0.05
3.92;0.11;0.16;0.05;0.26;0.24;0.05
3.96;0.11;0.16;0.05;0.26;0.23;0.05
4.00;0.11;0.16;0.05;0.26;0.23;0.05
4.04;0.11;0.16;0.05;0.26;0.23;0.05
4.08;0.11;0.16;0.05;0.27;0.23;0.05
4.12;0.11;0.16;0.05;0.27;0.23;0.05
4.16;0.11;0.16;0.04;0.27;0.23;0.05
4.20;0.11;0.16;0.04;0.27;0.23;0.05
4.24;0.11;0.16;0.03;0.27;0.23;0.05
4.28;0.11;0.16;0.03;0.27;0.23;0.06
4.32;0.11;0.16;0.02;0.27;0.23;0.06
4.36;0.11;0.16;0.02;0.27;0.23;0.06
4.40;0.11;0.16;0.02;0.27;0.23;0.06
4.44;0.11;0.16;0.01;0.27;0.23;0.06
4.48;0.11;0.16;0.01;0.27;0.23;0.06
4.52;0.11;0.16;0.01;0.27;0.23;0.06
4.56;0.11;0.16;0.00;0.27;0.23;0.06
4.60;0.11;0.16;0.00;0.27;0.23;0.06
4.64;0.11;0.16;0.00;0.27;0.23;0.07
4.68;0.11;0.16;0.00;0.27;0.23;0.07
4.72;0.11;0.16;0.00;0.27;0.23;0.07
4.76;0.11;0.16;0.00;0.27;0.23;0.08
4.80;0.11;0.16;0.00;0.27;0.22;0.08
4.84;0.11;0.16;-0.01;0.27;0.22;0.08
4.88;0.11;0.17;-0.01;0.27;0.22;0.08
4.92;0.11;0.17;-0.02;0.27;0.22;0.08
4.96;0.11;0.17;-0.03;0.27;0.22;0.08
5.00;0.11;0.17;-0.03;0.27;0.22;0.08
5.04;0.11;0.17;-0.04;0.27;0.22;0.08
5.08;0.11;0.17;-0.04;0.27;0.22;0.08
5.12;0.11;0.17;-0.04;0.27;0.22;0.08
5.16;0.11;0.17;-0.04;0.27;0.22;0.08
5.20;0.11;0.17;-0.05;0.27;0.22;0.08
5.24;0.11;0.18;-0.05;0.27;0.22;0.08
5.28;0.11;0.18;-0.05;0.27;0.22;0.08
5.32;0.11;0.18;-0.06;0.27;0.21;0.08
5.36;0.11;0.18;-0.06;0.27;0.21;0.08
5.40;0.11;0.18;-0.07;0.27;0.19;0.08
5.44;0.11;0.18;-0.07;0.27;0.15;0.08
5.48;0.11;0.17;-0.07;0.27;0.14;0.08
5.52;0.11;0.17;-0.07;0.27;0.14;0.08
5.56;0.11;0.17;-0.07;0.27;0.14;0.08
5.60;0.10;0.17;-0.07;0.27;0.14;0.08
5.64;0.10;0.17;-0.07;0.27;0.14;0.08
5.68;0.10;0.18;-0.07;0.27;0.14;0.08
5.72;0.10;0.18;-0.07;0.27;0.14;0.08
5.76;0.10;0.18;-0.07;0.27;0.14;0.08
5.80;0.10;0.18;-0.07;0.28;0.14;0.08
5.84;0.10;0.18;-0.07;0.29;0.14;0.08
5.88;0.10;0.18;-0.07;0.29;0.14;0.08
5.92;0.10;0.19;-0.07;0.29;0.14;0.08
5.96;0.10;0.19;-0.07;0.29;0.14;0.08
6.00;0.10;0.19;-0.07;0.29;0.14;0.08
6.04;0.10;0.19;-0.07;0.29;0.14;0.08
6.08;0.10;0.19;-0.07;0.29;0.14;0.08
6.12;0.10;0.19;-0.07;0.29;0.14;0.08
6.16;0.10;0.19;-0.07;0.29;0.14;0.08
6.20;0.10;0.19;-0.07;0.29;0.14;0.08
6.24;0.10;0.19;-0.07;0.29;0.14;0.08
6.28;0.10;0.19;-0.07;0.29;0.14;0.08
6.32;0.10;0.19;-0.07;0.29;0.14;0.08
6.36;0.10;0.19;-0.07;0.29;0.14;0.08
6.40;0.10;0.19;-0.07;0.29;0.14;0.08
6.44;0.10;0.19;-0.07;0.29;0.14;0.08
6.48;0.10;0.19;-0.07;0.29;0.14;0.08
6.52;0.10;0.19;-0.07;0.29;0.14;0.08
6.56;0.10;0.19;-0.07;0.29;0.14;0.08
6.60;0.10;0.19;-0.07;0.29;0.14;0.08
6.64;0.09;0.19;-0.07;0.29;0.14;0.09
6.68;0.09;0.19;-0.07;0.29;0.14;0.09
6.72;0.09;0.19;-0.07;0.29;0.14;0.09
6.76;0.09;0.19;-0.07;0.30;0.14;0.09
6.80;0.09;0.19;-0.07;0.30;0.14;0.09
6.84;0.09;0.19;-0.07;0.30;0.14;0.09
6.88;0.09;0.19;-0.07;0.30;0.14;0.09
6.92;0.09;0.19;-0.07;0.30;0.14;0.09
6.96;0.09;0.19;-0.07;0.30;0.14;0.09
7.00;0.06;0.19;-0.07;0.30;0.14;0.09
7.04;0.04;0.19;-0.07;0.30;0.15;0.09
7.08;0.04;0.19;-0.07;0.30;0.15;0.09
7.12;0.04;0.19;-0.07;0.30;0.15;0.09
7.16;0.04;0.19;-0.07;0.30;0.15;0.09
7.20;0.04;0.19;-0.07;0.30;0.15;0.09
7.24;0.04;0.20;-0.07;0.30;0.16;0.09
7.28;0.04;0.20;-0.07;0.30;0.16;0.09
7.32;0.04;0.20;-0.07;0.30;0.17;0.09
7.36;0.04;0.20;-0.07;0.30;0.17;0.09
7.40;0.04;0.20;-0.07;0.30;0.19;0.09
7.44;0.04;0.20;-0.06;0.30;0.19;0.09
7.48;0.04;0.20;-0.06;0.30;0.20;0.09
7.52;0.04;0.20;-0.05;0.30;0.20;0.09
7.56;0.04;0.20;-0.04;0.30;0.20;0.09
7.60;0.04;0.20;-0.03;0.30;0.21;0.09
7.64;0.04;0.20;-0.02;0.30;0.21;0.09
7.68;0.04;0.20;-0.01;0.30;0.22;0.10
7.72;0.04;0.20;-0.01;0.30;0.22;0.10
7.76;0.04;0.20;-0.01;0.30;0.23;0.10
7.80;0.04;0.20;-0.01;0.30;0.24;0.11
7.84;0.04;0.20;-0.01;0.30;0.24;0.11
7.88;0.04;0.20;-0.01;0.31;0.25;0.11
7.92;0.04;0.20;-0.01;0.32;0.25;0.11
7.96;0.04;0.20;-0.01;0.32;0.26;0.11
8.00;0.04;0.20;-0.01;0.32;0.26;0.11
8.04;0.04;0.20;-0.01;0.32;0.26;0.11
8.08;0.04;0.20;-0.01;0.32;0.26;0.11
8.12;0.04;0.20;-0.01;0.32;0.26;0.11
8.16;0.04;0.20;-0.01;0.32;0.26;0.11
8.20;0.04;0.20;-0.01;0.32;0.26;0.11
8.24;0.04;0.20;-0.01;0.32;0.26;0.11
8.28;0.04;0.20;-0.01;0.32;0.26;0.11
8.32;0.04;0.20;-0.01;0.32;0.26;0.11
8.36;0.04;0.20;-0.01;0.32;0.26;0.11
8.40;0.04;0.20;-0.01;0.32;0.26;0.11
8.44;0.04;0.20;-0.01;0.32;0.26;0.11
8.48;0.04;0.20;-0.01;0.32;0.26;0.11
8.52;0.04;0.20;-0.01;0.32;0.26;0.11
8.56;0.04;0.20;-0.01;0.32;0.26;0.11
8.60;0.04;0.20;-0.01;0.32;0.26;0.11
8.64;0.04;0.20;-0.01;0.32;0.26;0.11
8.68;0.04;0.20;0.01;0.32;0.26;0.11
8.72;0.04;0.20;0.01;0.32;0.26;0.11
8.76;0.04;0.20;0.02;0.32;0.26;0.11
8.80;0.04;0.20;0.02;0.32;0.26;0.11
8.84;0.04;0.20;0.02;0.32;0.26;0.11
8.88;0.04;0.20;0.02;0.32;0.26;0.11
8.92;0.04;0.20;0.02;0.32;0.26;0.11
8.96;0.04;0.20;0.02;0.32;0.26;0.11
9.00;0.04;0.20;0.02;0.32;0.26;0.11
9.04;0.04;0.20;0.02;0.32;0.26;0.11
9.08;0.04;0.20;0.02;0.32;0.26;0.11
9.12;0.04;0.20;0.02;0.32;0.26;0.12
9.16;0.04;0.20;0.02;0.32;0.26;0.12
9.20;0.04;0.20;0.02;0.32;0.26;0.12
9.24;0.04;0.20;0.02;0.32;0.26;0.12
9.28;0.04;0.19;0.02;0.32;0.26;0.12
9.32;0.04;0.19;0.02;0.32;0.26;0.12
9.36;0.04;0.19;0.02;0.32;0.26;0.12
9.40;0.04;0.19;0.02;0.32;0.26;0.12
9.44;0.04;0.19;0.02;0.32;0.26;0.12
9.48;0.04;0.19;0.02;0.32;0.26;0.12
9.52;0.04;0.19;0.03;0.32;0.26;0.12
9.56;0.04;0.19;0.04;0.32;0.26;0.12
9.60;0.04;0.19;0.04;0.32;0.26;0.12
9.64;0.04;0.19;0.06;0.32;0.26;0.12
9.68;0.04;0.19;0.06;0.32;0.26;0.12
9.72;0.04;0.19;0.06;0.32;0.26;0.13
9.76;0.04;0.19;0.07;0.32;0.26;0.13
9.80;0.04;0.19;0.07;0.32;0.26;0.13
9.84;0.04;0.19;0.07;0.32;0.26;0.13
9.88;0.04;0.19;0.07;0.32;0.26;0.14
9.92;0.04;0.19;0.07;0.32;0.26;0.14
9.96;0.04;0.19;0.08;0.32;0.26;0.16
10.00;0.04;0.19;0.08;0.32;0.26;0.17
10.04;0.04;0.19;0.08;0.32;0.26;0.17
10.08;0.04;0.19;0.08;0.32;0.26;0.17
10.12;0.04;0.19;0.08;0.32;0.26;0.17
10.16;0.04;0.19;0.09;0.32;0.26;0.17
10.20;0.04;0.19;0.11;0.32;0.26;0.17
10.24;0.04;0.19;0.11;0.32;0.26;0.17
10.28;0.04;0.19;0.11;0.32;0.26;0.17
10.32;0.04;0.19;0.12;0.32;0.26;0.17
10.36;0.04;0.19;0.12;0.32;0.26;0.17
10.40;0.04;0.19;0.12;0.32;0.25;0.17
10.44;0.04;0.19;0.15;0.32;0.25;0.17
10.48;0.04;0.19;0.16;0.32;0.25;0.17
10.52;0.04;0.19;0.17;0.32;0.25;0.17
10.56;0.04;0.19;0.17;0.32;0.25;0.17
10.60;0.04;0.19;0.18;0.32;0.25;0.17
10.64;0.04;0.19;0.19;0.32;0.24;0.17
10.68;0.04;0.19;0.19;0.32;0.24;0.17
10.72;0.04;0.19;0.19;0.32;0.24;0.17
10.76;0.04;0.19;0.20;0.32;0.24;0.17
10.80;0.04;0.19;0.20;0.32;0.24;0.17
10.84;0.04;0.19;0.20;0.32;0.24;0.17
10.88;0.04;0.19;0.20;0.32;0.24;0.17
10.92;0.04;0.19;0.20;0.32;0.24;0.17
10.96;0.04;0.19;0.21;0.32;0.24;0.17
11.00;0.04;0.19;0.21;0.32;0.23;0.17
11.04;0.04;0.19;0.21;0.32;0.23;0.17
11.08;0.04;0.19;0.21;0.32;0.23;0.17
11.12;0.04;0.19;0.21;0.31;0.23;0.17
11.16;0.04;0.19;0.21;0.31;0.23;0.17
11.20;0.04;0.19;0.22;0.31;0.23;0.17
11.24;0.04;0.19;0.22;0.31;0.23;0.17
11.28;0.04;0.19;0.22;0.31;0.23;0.17
11.32;0.04;0.19;0.22;0.31;0.23;0.17
11.36;0.04;0.19;0.22;0.31;0.23;0.17
11.40;0.04;0.19;0.22;0.31;0.23;0.17
11.44;0.04;0.19;0.22;0.31;0.22;0.17
11.48;0.04;0.19;0.22;0.31;0.22;0.17
11.52;0.04;0.19;0.22;0.31;0.22;0.17
11.56;0.04;0.19;0.21;0.31;0.21;0.17
11.60;0.04;0.19;0.21;0.30;0.21;0.17
11.64;0.04;0.19;0.21;0.30;0.21;0.17
11.68;0.04;0.19;0.21;0.30;0.21;0.17
11.72;0.04;0.19;0.21;0.30;0.21;0.16
11.76;0.04;0.19;0.20;0.30;0.21;0.16
11.80;0.04;0.19;0.19;0.30;0.21;0.16
11.84;0.04;0.19;0.18;0.30;0.21;0.16
11.88;0.04;0.19;0.15;0.30;0.21;0.16
11.92;0.04;0.19;0.13;0.30;0.21;0.16
11.96;0.04;0.19;0.12;0.29;0.21;0.16
12.00;0.04;0.19;0.11;0.29;0.21;0.16
12.04;0.04;0.19;0.10;0.29;0.21;0.15
12.08;0.04;0.19;0.08;0.29;0.21;0.15
12.12;0.03;0.19;0.07;0.29;0.21;0.15
12.16;0.03;0.19;0.06;0.29;0.21;0.15
12.20;0.03;0.19;0.04;0.29;0.21;0.15
12.24;0.03;0.19;0.04;0.29;0.21;0.15
12.28;0.03;0.19;0.03;0.29;0.21;0.15
12.32;0.03;0.19;0.02;0.29;0.21;0.15
12.36;0.02;0.19;0.02;0.29;0.21;0.15
12.40;0.02;0.19;0.01;0.29;0.21;0.15
12.44;0.02;0.19;0.01;0.29;0.21;0.15
12.48;0.01;0.19;0.00;0.29;0.21;0.15
12.52;0.01;0.19;0.00;0.29;0.21;0.15
12.56;0.01;0.19;0.00;0.29;0.21;0.14
12.60;0.01;0.19;0.00;0.29;0.22;0.14
12.64;0.01;0.19;0.00;0.29;0.22;0.14
12.68;0.01;0.19;0.00;0.29;0.23;0.14
12.72;0.01;0.19;0.00;0.29;0.23;0.14
12.76;0.01;0.19;0.00;0.29;0.24;0.14
12.80;0.01;0.19;0.00;0.29;0.25;0.14
12.84;0.01;0.19;0.00;0.29;0.25;0.14
12.88;0.01;0.19;0.00;0.29;0.26;0.14
12.92;0.01;0.19;0.00;0.29;0.26;0.14
12.96;0.01;0.19;0.00;0.29;0.26;0.14
13.00;0.01;0.19;0.00;0.29;0.26;0.14
13.04;0.01;0.19;0.00;0.29;0.26;0.14
13.08;0.01;0.19;0.00;0.29;0.27;0.13
13.12;0.01;0.19;0.00;0.29;0.27;0.13
13.16;0.01;0.19;0.00;0.29;0.28;0.13
13.20;0.01;0.19;0.00;0.29;0.28;0.13
13.24;0.01;0.19;0.00;0.29;0.29;0.13
13.28;0.01;0.19;0.00;0.29;0.29;0.13
13.32;0.01;0.19;0.00;0.29;0.29;0.13
13.36;0.01;0.19;0.00;0.29;0.30;0.13
13.40;0.01;0.19;0.00;0.29;0.30;0.13
13.44;0.00;0.19;0.00;0.29;0.30;0.13
13.48;-0.00;0.19;0.00;0.29;0.30;0.13
13.52;-0.00;0.19;0.00;0.29;0.30;0.13
13.56;-0.00;0.19;0.00;0.29;0.30;0.13
13.60;-0.00;0.19;0.00;0.29;0.30;0.13
13.64;-0.00;0.19;0.00;0.29;0.30;0.13
13.68;-0.00;0.19;0.00;0.29;0.30;0.13
13.72;-0.00;0.19;0.00;0.29;0.30;0.13
13.76;-0.00;0.19;0.00;0.29;0.30;0.13
13.80;-0.00;0.19;0.00;0.29;0.30;0.12
13.84;-0.00;0.19;0.00;0.30;0.30;0.12
13.88;-0.00;0.19;0.00;0.30;0.30;0.12
13.92;-0.01;0.18;0.00;0.30;0.30;0.12
13.96;-0.01;0.18;0.00;0.30;0.30;0.12
14.00;-0.01;0.18;0.00;0.30;0.30;0.12
14.04;-0.01;0.18;0.00;0.30;0.30;0.12
14.08;-0.01;0.18;0.00;0.31;0.30;0.12
14.12;-0.01;0.18;0.00;0.31;0.30;0.12
14.16;-0.01;0.18;0.00;0.31;0.30;0.12
14.20;-0.01;0.18;0.00;0.31;0.30;0.11
14.24;-0.01;0.18;0.00;0.31;0.30;0.11
14.28;-0.01;0.18;0.00;0.31;0.30;0.11
14.32;-0.01;0.18;0.00;0.31;0.30;0.11
14.36;-0.01;0.18;0.00;0.31;0.30;0.12
14.40;-0.01;0.18;0.00;0.31;0.30;0.12
14.44;-0.01;0.18;0.00;0.31;0.30;0.12
14.48;-0.01;0.18;0.00;0.31;0.30;0.12
14.52;-0.01;0.18;0.00;0.31;0.30;0.12
14.56;-0.01;0.18;0.00;0.31;0.30;0.12
14.60;-0.01;0.18;0.00;0.31;0.30;0.12
14.64;-0.01;0.18;0.00;0.31;0.30;0.12
14.68;-0.01;0.18;0.00;0.31;0.30;0.12
14.72;-0.01;0.18;0.00;0.31;0.30;0.12
14.76;-0.01;0.18;0.00;0.31;0.30;0.13
14.80;-0.01;0.18;0.01;0.31;0.30;0.13
14.84;-0.01;0.18;0.01;0.31;0.30;0.13
14.88;-0.01;0.18;0.01;0.31;0.30;0.13
14.92;-0.01;0.18;0.01;0.31;0.30;0.13
14.96;-0.01;0.18;0.01;0.31;0.30;0.13
15.00;-0.01;0.18;0.01;0.31;0.30;0.13
15.04;-0.01;0.18;0.01;0.31;0.29;0.13
15.08;-0.01;0.18;0.01;0.31;0.28;0.13
15.12;-0.01;0.18;0.01;0.31;0.28;0.13
15.16;-0.01;0.18;0.01;0.31;0.27;0.13
15.20;-0.01;0.18;0.01;0.31;0.26;0.13
15.24;-0.01;0.18;0.01;0.31;0.26;0.13
15.28;-0.01;0.18;0.01;0.31;0.25;0.13
15.32;-0.01;0.18;0.01;0.31;0.25;0.13
15.36;-0.01;0.18;0.01;0.31;0.25;0.13
15.40;-0.01;0.18;0.01;0.31;0.25;0.13
15.44;-0.01;0.18;0.01;0.31;0.24;0.13
15.48;-0.01;0.18;0.01;0.31;0.23;0.13
15.52;-0.01;0.18;0.01;0.31;0.23;0.13
15.56;-0.01;0.18;0.01;0.31;0.22;0.13
15.60;-0.01;0.18;0.01;0.31;0.21;0.13
15.64;-0.01;0.18;0.02;0.31;0.20;0.13
15.68;-0.01;0.18;0.02;0.31;0.18;0.13
15.72;-0.01;0.18;0.02;0.31;0.16;0.13
15.76;-0.01;0.18;0.02;0.31;0.15;0.12
15.80;-0.01;0.18;0.02;0.31;0.15;0.12
15.84;-0.01;0.18;0.02;0.31;0.14;0.12
15.88;-0.01;0.18;0.02;0.31;0.14;0.12
15.92;-0.01;0.18;0.02;0.31;0.14;0.12
15.96;-0.01;0.18;0.03;0.31;0.14;0.11
16.00;-0.01;0.18;0.04;0.31;0.14;0.11
16.04;-0.01;0.18;0.06;0.31;0.14;0.10
16.08;-0.01;0.18;0.06;0.31;0.14;0.10
16.12;-0.01;0.18;0.06;0.31;0.14;0.10
16.16;-0.01;0.18;0.07;0.31;0.14;0.10
16.20;-0.01;0.18;0.07;0.31;0.14;0.09
16.24;-0.01;0.18;0.07;0.31;0.14;0.09
16.28;-0.01;0.18;0.07;0.31;0.14;0.09
16.32;-0.01;0.18;0.08;0.31;0.14;0.09
16.36;-0.01;0.18;0.08;0.31;0.14;0.09
16.40;-0.01;0.18;0.09;0.31;0.14;0.09
16.44;-0.01;0.18;0.10;0.31;0.14;0.09
16.48;-0.01;0.18;0.10;0.31;0.14;0.09
16.52;-0.01;0.18;0.11;0.31;0.14;0.09
16.56;-0.01;0.18;0.11;0.31;0.14;0.09
16.60;-0.01;0.18;0.11;0.31;0.14;0.09
16.64;-0.01;0.18;0.11;0.31;0.14;0.09
16.68;-0.01;0.18;0.11;0.31;0.14;0.10
16.72;-0.01;0.18;0.11;0.31;0.14;0.10
16.76;-0.01;0.18;0.11;0.31;0.14;0.11
16.80;-0.01;0.18;0.12;0.31;0.14;0.11
16.84;-0.01;0.18;0.12;0.31;0.14;0.11
16.88;-0.01;0.18;0.12;0.31;0.14;0.11
16.92;-0.01;0.18;0.12;0.31;0.14;0.12
16.96;-0.01;0.18;0.12;0.31;0.14;0.12
17.00;-0.01;0.19;0.12;0.30;0.14;0.12
17.04;-0.01;0.19;0.12;0.30;0.14;0.12
17.08;-0.01;0.19;0.12;0.30;0.14;0.12
17.12;-0.01;0.19;0.12;0.30;0.14;0.12
17.16;-0.01;0.19;0.12;0.30;0.14;0.12
17.20;-0.01;0.19;0.12;0.30;0.14;0.13
17.24;-0.01;0.19;0.12;0.30;0.14;0.13
17.28;-0.01;0.19;0.12;0.30;0.14;0.13
17.32;-0.01;0.19;0.12;0.30;0.14;0.13
17.36;-0.01;0.19;0.12;0.30;0.14;0.13
17.40;-0.01;0.19;0.12;0.30;0.14;0.13
17.44;-0.01;0.19;0.12;0.30;0.14;0.13
17.48;-0.01;0.19;0.12;0.30;0.14;0.13
17.52;-0.01;0.19;0.13;0.30;0.14;0.13
17.56;-0.01;0.19;0.13;0.30;0.14;0.13
17.60;-0.01;0.19;0.13;0.30;0.14;0.13
17.64;-0.01;0.19;0.14;0.30;0.14;0.13
17.68;-0.01;0.19;0.14;0.30;0.14;0.13
17.72;-0.01;0.19;0.14;0.30;0.14;0.13
17.76;-0.01;0.19;0.14;0.29;0.14;0.13
17.80;-0.01;0.19;0.14;0.29;0.14;0.13
17.84;-0.01;0.19;0.14;0.29;0.14;0.13
17.88;-0.01;0.19;0.14;0.29;0.14;0.13
17.92;-0.01;0.19;0.14;0.29;0.14;0.13
17.96;-0.01;0.19;0.14;0.29;0.14;0.13
18.00;-0.01;0.19;0.14;0.29;0.14;0.13
18.04;-0.01;0.19;0.14;0.29;0.15;0.13
18.08;-0.01;0.19;0.15;0.29;0.15;0.13
18.12;-0.01;0.19;0.15;0.28;0.15;0.13
18.16;-0.01;0.19;0.15;0.28;0.17;0.13
18.20;-0.01;0.19;0.15;0.28;0.18;0.13
18.24;-0.01;0.19;0.15;0.28;0.18;0.13
18.28;-0.01;0.19;0.15;0.28;0.18;0.13
18.32;-0.01;0.19;0.15;0.28;0.19;0.13
18.36;-0.01;0.19;0.15;0.28;0.19;0.13
18.40;-0.01;0.20;0.15;0.28;0.19;0.13
18.44;-0.01;0.20;0.15;0.28;0.19;0.14
18.48;-0.01;0.20;0.15;0.28;0.19;0.14
18.52;-0.01;0.21;0.15;0.28;0.19;0.14
18.56;-0.01;0.21;0.16;0.28;0.19;0.14
18.60;-0.01;0.21;0.16;0.28;0.19;0.14
18.64;-0.01;0.21;0.16;0.28;0.19;0.14
18.68;-0.01;0.21;0.16;0.28;0.19;0.14
18.72;-0.01;0.21;0.16;0.28;0.19;0.14
18.76;-0.01;0.22;0.16;0.28;0.20;0.14
18.80;-0.01;0.22;0.16;0.27;0.22;0.14
18.84;-0.01;0.22;0.16;0.27;0.23;0.14
18.88;-0.01;0.22;0.16;0.27;0.23;0.14
18.92;-0.01;0.22;0.16;0.27;0.24;0.14
18.96;-0.01;0.22;0.16;0.27;0.25;0.14
19.00;-0.01;0.22;0.16;0.27;0.26;0.14
19.04;-0.01;0.22;0.16;0.27;0.26;0.14
19.08;-0.01;0.22;0.16;0.27;0.27;0.14
19.12;-0.01;0.22;0.16;0.27;0.27;0.14
19.16;-0.01;0.22;0.16;0.27;0.28;0.14
19.20;-0.01;0.22;0.16;0.26;0.29;0.14
19.24;-0.01;0.22;0.16;0.26;0.29;0.14
19.28;-0.01;0.22;0.16;0.26;0.29;0.14
19.32;-0.01;0.22;0.16;0.26;0.30;0.14
19.36;-0.01;0.22;0.15;0.25;0.30;0.13
19.40;-0.01;0.22;0.15;0.25;0.30;0.13
19.44;-0.01;0.22;0.15;0.25;0.31;0.13
